year,population,sex,type
2000,126926,sum,actual
2001,127316,sum,actual
2002,127486,sum,actual
2003,127694,sum,actual
2004,127787,sum,actual
2005,127768,sum,actual
2006,127901,sum,actual
2007,128033,sum,actual
2008,128084,sum,actual
2009,128032,sum,actual
2010,128057,sum,actual
2011,127834,sum,actual
2012,127593,sum,actual
2013,127414,sum,actual
2014,127237,sum,actual
2015,127095,sum,actual
1920,55963,sum,actual
1921,56666,sum,actual
1922,57390,sum,actual
1923,58119,sum,actual
1924,58876,sum,actual
1925,59737,sum,actual
1926,60741,sum,actual
1927,61659,sum,actual
1928,62595,sum,actual
1929,63461,sum,actual
1930,64450,sum,actual
1931,65457,sum,actual
1932,66434,sum,actual
1933,67432,sum,actual
1934,68309,sum,actual
1935,69254,sum,actual
1936,70114,sum,actual
1937,70630,sum,actual
1938,71013,sum,actual
1939,71380,sum,actual
1940,71933,sum,actual
1941,72218,sum,actual
1942,72880,sum,actual
1943,73903,sum,actual
1944,74433,sum,actual
1945,72147,sum,actual
1946,75750,sum,actual
1947,78101,sum,actual
1948,80002,sum,actual
1949,81773,sum,actual
1950,83200,sum,actual
1951,84541,sum,actual
1952,85808,sum,actual
1953,86981,sum,actual
1954,88239,sum,actual
1955,89276,sum,actual
1956,90172,sum,actual
1957,90928,sum,actual
1958,91767,sum,actual
1959,92641,sum,actual
1960,93419,sum,actual
1961,94287,sum,actual
1962,95181,sum,actual
1963,96156,sum,actual
1964,97182,sum,actual
1965,98275,sum,actual
1966,99036,sum,actual
1967,100196,sum,actual
1968,101331,sum,actual
1969,102536,sum,actual
1970,103720,sum,actual
1971,105145,sum,actual
1972,107595,sum,actual
1973,109104,sum,actual
1974,110573,sum,actual
1975,111940,sum,actual
1976,113094,sum,actual
1977,114165,sum,actual
1978,115190,sum,actual
1979,116155,sum,actual
1980,117060,sum,actual
1981,117902,sum,actual
1982,118728,sum,actual
1983,119536,sum,actual
1984,120305,sum,actual
1985,121049,sum,actual
1986,121660,sum,actual
1987,122239,sum,actual
1988,122745,sum,actual
1989,123205,sum,actual
1990,123611,sum,actual
1991,124101,sum,actual
1992,124567,sum,actual
1993,124938,sum,actual
1994,125265,sum,actual
1995,125570,sum,actual
1996,125859,sum,actual
1997,126157,sum,actual
1998,126472,sum,actual
1999,126667,sum,actual
2000,62111,male,actual
2001,62265,male,actual
2002,62295,male,actual
2003,62368,male,actual
2004,62380,male,actual
2005,62349,male,actual
2006,62387,male,actual
2007,62424,male,actual
2008,62422,male,actual
2009,62358,male,actual
2010,62328,male,actual
2011,62207,male,actual
2012,62080,male,actual
2013,61985,male,actual
2014,61901,male,actual
2015,61842,male,actual
1920,28044,male,actual
1921,28412,male,actual
1922,28800,male,actual
1923,29177,male,actual
1924,29569,male,actual
1925,30013,male,actual
1926,30521,male,actual
1927,30982,male,actual
1928,31449,male,actual
1929,31891,male,actual
1930,32390,male,actual
1931,32899,male,actual
1932,33355,male,actual
