group,subgroup,name,population
神道,神社神道系,神社本庁,74696959
神道,神社神道系,神社本教,10000
神道,神社神道系,神社産土教,49979
神道,神社神道系,北海道神社協会,55500
神道,神社神道系,木曽御嶽本教,40557
神道,神社神道系,神道石切教,24655
神道,神社神道系,神宮教,550
神道,神社神道系,出雲日御碕大神宮教,960
神道,神社神道系,出雲神奈備教,788
神道,神社神道系,石鎚本教,44777
神道,神社神道系,出雲教,88458
神道,神社神道系,日本神宮本庁,5080
神道,神社神道系,日本神社教団,953
神道,神社神道系,大和教,2300
神道,教派神道系,神道大教,21195
神道,教派神道系,神道天行居,14484
神道,教派神道系,香取金光教,705
神道,教派神道系,彌山教,62
神道,教派神道系,天元教,1428
神道,教派神道系,至誠眞柱教,182
神道,教派神道系,神道親導教,330
神道,教派神道系,神道神心教,85
神道,教派神道系,大神教,8012
神道,教派神道系,自然社,1050
神道,教派神道系,大三輪教,1500
神道,教派神道系,天善教,17
神道,教派神道系,瑞穂教,16600
神道,教派神道系,金刀比羅本教,214700
神道,教派神道系,黒住教,297154
神道,教派神道系,神道修成派,6502
神道,教派神道系,出雲大社教,1266418
神道,教派神道系,扶桑教,32300
神道,教派神道系,丸山教,10948
神道,教派神道系,眞乃道教,24
神道,教派神道系,石鎚教,130
神道,教派神道系,天地教（京都）,480
神道,教派神道系,金毘羅教,2000
神道,教派神道系,天崇教,4024
神道,教派神道系,富士教,1065
神道,教派神道系,明治教団,73
神道,教派神道系,大日の本教,37
神道,教派神道系,實行教,8625
神道,教派神道系,神道金刀比羅教,1364
神道,教派神道系,明治教,4060
神道,教派神道系,一元帰教,360
神道,教派神道系,神道大成教,10748
神道,教派神道系,修験道教,804
神道,教派神道系,天地教（兵庫）,814
神道,教派神道系,大本,164478
神道,教派神道系,神習教,81819
神道,教派神道系,明正教,8050
神道,教派神道系,神之導教,281
神道,教派神道系,御嶽教,25380
神道,教派神道系,御嶽教修正派,6839
神道,教派神道系,天常教,6517
神道,教派神道系,みたま教,33487
神道,教派神道系,神宣教,1350
神道,教派神道系,神徳教団,20926
神道,教派神道系,御嶽山曽間本教,751
神道,教派神道系,日之本教,1510
神道,教派神道系,いのちの会,1348
神道,教派神道系,神理教,31945
神道,教派神道系,長生教,932
神道,教派神道系,日の本教,18
神道,教派神道系,洗心教,2560
神道,教派神道系,禊教,6036
神道,教派神道系,金光教,353142
神道,教派神道系,大道教（奈良）,170
神道,教派神道系,太道教,3692
神道,教派神道系,世界心道教,17591
神道,教派神道系,日の本神誠講,936
神道,教派神道系,日月神一条,1573
神道,教派神道系,天輪王明誠教団,280
神道,教派神道系,神道禊教,22473
神道,新教派系,天真道教団,574
神道,新教派系,誠光教,22782
神道,新教派系,心睦教団,15603
神道,新教派系,大日本大道教,660
神道,新教派系,稲荷教,69
神道,新教派系,心霊界教団,6075
神道,新教派系,天霊教,153
神道,新教派系,大倭教,6814
神道,新教派系,三五教,6944
神道,新教派系,練真道教団,3180
神道,新教派系,大眞界教団,9481
神道,新教派系,修養団捧誠会,3245
神道,新教派系,自然眞道,6326
神道,新教派系,心成睦教団,15
神道,新教派系,大日然教,450
神道,新教派系,大本元教教団,531
神道,新教派系,古神道仙法教,12985
神道,新教派系,山蔭神道,1676
神道,新教派系,中山荒神報恩会,100
神道,新教派系,大宇宙教,680
神道,新教派系,一元の宮,434
神道,新教派系,神道大和教（三重）,3000
神道,新教派系,神道教団,2460
神道,新教派系,赤心会,7200
神道,新教派系,惟神教,1699
神道,新教派系,神道新教,1540
神道,新教派系,天真教,350
神道,新教派系,大霊道,1195
神道,新教派系,大和教団,100066
神道,新教派系,天恩教,195
神道,新教派系,四大道,412
神道,新教派系,祖神道教団,555
神道,新教派系,天地守教団,60
神道,新教派系,大元教,136
神道,新教派系,大祖教,1800
神道,新教派系,宗教法人平和教,1694
仏教,天台系,天台宗,1533110
仏教,天台系,天台寺門宗,62650
仏教,天台系,天台真盛宗,60080
仏教,天台系,本山修験宗,1504
仏教,天台系,修験道,106268
仏教,天台系,験乗宗,4089
仏教,天台系,金峯山修験本宗,88680
仏教,天台系,金剛宗,191
仏教,天台系,石土宗,14495
仏教,天台系,天台圓淨宗,4343
仏教,天台系,和宗,129140
仏教,天台系,妙見宗,10000
仏教,天台系,大和宗,68070
仏教,天台系,西山宗,45
仏教,天台系,粉河観音宗,3562
仏教,天台系,浄土真宗遣迎院派,4760
仏教,天台系,念法眞教,387464
仏教,天台系,鞍馬弘教,16684
仏教,天台系,孝道教団,122180
仏教,真言系,真言宗醍醐派,340170
仏教,真言系,眞言宗東寺派,78000
仏教,真言系,真言宗山階派,49650
仏教,真言系,真言宗善通寺派,271240
仏教,真言系,真言宗智山派,526514
仏教,真言系,真言宗豊山派,1424818
仏教,真言系,新義真言宗,29809
仏教,真言系,真言宗霊雲寺派,4240
仏教,真言系,真言宗須磨寺派,68800
仏教,真言系,眞言宗犬鳴派,17000
仏教,真言系,真言宗国分寺派,30154
仏教,真言系,真言宗金剛院派,10951
仏教,真言系,真言宗大日派,700
仏教,真言系,真言宗石鈇派,24100
仏教,真言系,真言宗花山院派,12361
仏教,真言系,真言宗五智教団,13000
仏教,真言系,真言宗九州教団,17903
仏教,真言系,信貴山真言宗,582550
仏教,真言系,霊山寺眞言宗,3469
仏教,真言系,光明真言宗,3012
仏教,真言系,石鎚山眞言宗,2266
仏教,真言系,真言密宗,2360
仏教,真言系,真言聖天宗,3200
仏教,真言系,真言三宝宗,255316
仏教,真言系,真言毘盧舎那宗,2704
仏教,真言系,天宗,45
仏教,真言系,一切宗,800
仏教,真言系,観音宗,28000
仏教,真言系,救世観音宗,25900
仏教,真言系,中山身語正宗,265711
仏教,真言系,光明念仏身語聖宗,122044
仏教,真言系,八宗兼学真修教,22990
仏教,真言系,真如苑,917903
仏教,真言系,卍教団,73800
仏教,真言系,真言宗神道派,1807
仏教,真言系,真言宗金毘羅尊流,15846
仏教,真言系,辯天宗,57477
仏教,浄土系,浄土宗,6021900
仏教,浄土系,浄土宗西山深草派,82109
仏教,浄土系,浄土宗西山禅林寺派,48056
仏教,浄土系,西山浄土宗,150229
仏教,浄土系,浄土真宗本願寺派,7713119
仏教,浄土系,真宗大谷派,6890673
仏教,浄土系,真宗高田派,224392
仏教,浄土系,真宗興正派,35831
仏教,浄土系,真宗佛光寺派,47940
仏教,浄土系,真宗三門徒派,13228
